CustomerID,Age,MonthlyIncome,ProdTaken
1,25,2000,0
2,26,2100,1
3,27,2200,0
4,28,2300,1
5,29,2400,0
6,30,2500,1
7,31,2600,0
8,32,2700,1
9,33,2800,0
10,34,2900,1
11,35,3000,0
12,36,3100,1
13,37,3200,0
14,38,3300,1
15,39,3400,0
16,40,3500,1
17,41,3600,0
18,42,3700,1
19,43,3800,0
20,44,3900,1
21,45,4000,0
22,46,4100,1
23,47,4200,0
24,48,4300,1
25,49,4400,0
26,50,4500,1
27,51,4600,0
28,52,4700,1
29,53,4800,0
30,54,4900,1
31,55,5000,0
32,56,5100,1
33,57,5200,0
34,58,5300,1
35,59,5400,0
36,60,5500,1
37,61,5600,0
38,62,5700,1
39,63,5800,0
40,64,5900,1
41,25,6000,0
42,26,6100,1
43,27,6200,0
44,28,6300,1
45,29,6400,0
46,30,6500,1
47,31,6600,0
48,32,6700,1
49,33,6800,0
50,34,6900,1
51,35,7000,0
52,36,7100,1
53,37,7200,0
54,38,7300,1
55,39,7400,0
56,40,7500,1
57,41,7600,0
58,42,7700,1
59,43,7800,0
60,44,7900,1
61,45,8000,0
62,46,8100,1
63,47,8200,0
64,48,8300,1
65,49,8400,0
66,50,8500,1
67,51,8600,0
68,52,8700,1
69,53,8800,0
70,54,8900,1
71,55,9000,0
72,56,9100,1
73,57,9200,0
74,58,9300,1
75,59,9400,0
76,60,9500,1
77,61,9600,0
78,62,9700,1
79,63,9800,0
80,64,9900,1
81,25,10000,0
82,26,10100,1
83,27,10200,0
84,28,10300,1
85,29,10400,0
86,30,10500,1
87,31,10600,0
88,32,10700,1
89,33,10800,0
90,34,10900,1
91,35,11000,0
92,36,11100,1
93,37,11200,0
94,38,11300,1
95,39,11400,0
96,40,11500,1
97,41,11600,0
98,42,11700,1
99,43,11800,0
100,44,11900,1
